"prioridad","id","sku","titulo","categoria","marca","precio","stock","estado_stock","unidades_12m","facturado_12m","tiene_foto","tiene_descripcion"
"1","6485","531","Vidrio templado 9D | glass 9d","Vidrios templados e hidrogel","","5000","9708","instock","53","261400","NO","SI"
"2","6493","540","Funda comun","Fundas","","8000",,"instock","45","340284","NO","SI"
"3","6581","VID-GEN-HIDROG","Hidrogel Clear AAA","Vidrios templados e hidrogel","","8000",,"instock","28","216000","NO","SI"
"4","6924","FND-GEN-ECONOM","Funda economica","Fundas","","7000",,"instock","28","186000","NO","SI"
"5","6490","537","Hidrogel premium","Vidrios templados e hidrogel","","12000",,"instock","22","264000","NO","SI"
"6","7307","","Cable usb tipo C","Cables de carga","","6000",,"instock","10","42000","NO","NO"
"7","6511","581","Fuente iphone 20w tipo C original","Cargadores de pared","Apple","65000","5","instock","9","470000","NO","SI"
"8","7359","","Cable usb tipo C Fox box Axon 20w","Cables de carga","","9000","3","instock","8","49000","NO","NO"
"9","7306","AUR-GEN-AURICU-5","Auriculares Airpods Pro Rep 2","Auriculares inalámbricos","","29000","2","instock","7","193500","NO","SI"
"10","6667","ALM-HIKS-PENDRI32G","Pendrive Hiksemi/Lexar/MDI 32gb","Almacenamiento","Hiksemi","28000","24","instock","7","73000","SI","SI"
"11","6563","ALM-HIKS-MEMORI32G","Memoria hiksemi/lexar micro sd 32gb","Almacenamiento","Hiksemi","25000","9","instock","7","40000","SI","SI"
"12","6920","CAR-FOX-FOX-2","Cargador fox box MEGA 30w C/ cable Lightning","Cargadores de pared","FoxBox","32000","8","instock","6","122666","NO","SI"
"13","6491","538","Hidrogel anti espia","Vidrios templados e hidrogel","","14000",,"instock","6","84000","NO","SI"
"14","6970","CAB-APPLE-TRV","Cable USB TRV iphone lightning","Cables de carga","Apple","13000","4","instock","6","78000","NO","SI"
"15","6951","CAB-GEN-TRV","Cable TRV tipo C a tipo C 65w","Cables de carga","","12000","6","instock","6","36000","NO","SI"
"16","6566","AUR-FOX-MANOS","Auriculares Manos libres fox box boost pulse 3,5","Auriculares inalámbricos","FoxBox","10000","4","instock","6","44000","NO","SI"
"17","7122","","Fuente Iphone 20W Tipo C Premium","Cargadores de pared","","16000","5","instock","5","56000","NO","NO"
"18","7230","","Cargador IBEK tipo C 4.8A","Cargadores de pared","","9500","3","instock","5","9500","NO","NO"
"19","6494","541","Funda premium 1","Vidrios templados e hidrogel","","10000",,"instock","5","50000","NO","SI"
"20","6847","CAB-FOX-FOXBOX-2","Cable Fox Box Prism Lightning 1,25m","Cables de carga","FoxBox","13000","0","outofstock","5","52000","NO","SI"
"21","6918","CAB-FOX-FOXBOX-4","Cable usb tipo C 20w Fox Box round","Cables de carga","FoxBox","13000","2","instock","5","64000","NO","SI"
"22","6953","CAB-GEN-TRV-2","Cable TRV tipo C a lightning 20w","Cables de carga","","13000","5","instock","5","54000","NO","SI"
"23","6501","566","Cable USB tipo-c a Lightning 1mt","Cables de carga","","6000","9976","instock","5","0","NO","SI"
"24","6564","ALM-HIKS-MEMORI64G","Memoria hiksemi/Dahua micro sd 64gb","Almacenamiento","Hiksemi","39000","11","instock","5","128000","SI","SI"
