prioridad,id,sku,titulo,categoria,marca,precio,unidades_12m,capacidad,ram,conector,longitud,potencia,pulgadas,gama,condicion,bateria,imei,replica
1,6485,"531","Vidrio templado 9D | glass 9d","Vidrios templados e hidrogel","",5000,53,"","","","","","","","","","",""
2,6493,"540","Funda comun","Fundas","",8000,45,"","","","","","","Comun","","","",""
3,6581,"VID-GEN-HIDROG","Hidrogel Clear AAA","Vidrios templados e hidrogel","",8000,28,"","","","","","","AAA","","","",""
4,6924,"FND-GEN-ECONOM","Funda economica","Fundas","",7000,28,"","","","","","","Economico","","","",""
5,6490,"537","Hidrogel premium","Vidrios templados e hidrogel","",12000,22,"","","","","","","Premium","","","",""
6,7307,"","Cable usb tipo C","Cables de carga","",6000,10,"","","Tipo C","","","","","","","",""
7,6511,"581","Fuente iphone 20w tipo C original","Cargadores de pared","Apple",65000,9,"","","Tipo C","","20W","","Original","","","",""
8,7359,"","Cable usb tipo C Fox box Axon 20w","Cables de carga","",9000,8,"","","Tipo C","","20W","","","","","",""
9,7306,"AUR-GEN-AURICU-5","Auriculares Airpods Pro Rep 2","Auriculares inalámbricos","",29000,7,"","","","","","","","","","","SI"
10,6667,"ALM-HIKS-PENDRI32G","Pendrive Hiksemi/Lexar/MDI 32gb","Almacenamiento","Hiksemi",28000,7,"32GB","","","","","","","","","",""
11,6563,"ALM-HIKS-MEMORI32G","Memoria hiksemi/lexar micro sd 32gb","Almacenamiento","Hiksemi",25000,7,"32GB","","","","","","","","","",""
12,6920,"CAR-FOX-FOX-2","Cargador fox box MEGA 30w C/ cable Lightning","Cargadores de pared","FoxBox",32000,6,"","","Lightning","","30W","","","","","",""
13,6491,"538","Hidrogel anti espia","Vidrios templados e hidrogel","",14000,6,"","","","","","","","","","",""
14,6970,"CAB-APPLE-TRV","Cable USB TRV iphone lightning","Cables de carga","Apple",13000,6,"","","Lightning","","","","","","","",""
15,6951,"CAB-GEN-TRV","Cable TRV tipo C a tipo C 65w","Cables de carga","",12000,6,"","","Tipo C","","65W","","","","","",""
16,6566,"AUR-FOX-MANOS","Auriculares Manos libres fox box boost pulse 3,5","Auriculares inalámbricos","FoxBox",10000,6,"","","Jack 3.5","","","","","","","",""
17,7122,"","Fuente Iphone 20W Tipo C Premium","Cargadores de pared","",16000,5,"","","Tipo C","","20W","","Premium","","","",""
18,7230,"","Cargador IBEK tipo C 4.8A","Cargadores de pared","",9500,5,"","","Tipo C","","","","","","","",""
19,6494,"541","Funda premium 1","Vidrios templados e hidrogel","",10000,5,"","","","","","","Premium","","","",""
20,6847,"CAB-FOX-FOXBOX-2","Cable Fox Box Prism Lightning 1,25m","Cables de carga","FoxBox",13000,5,"","","Lightning","1.25m","","","","","","",""
21,6918,"CAB-FOX-FOXBOX-4","Cable usb tipo C 20w Fox Box round","Cables de carga","FoxBox",13000,5,"","","Tipo C","","20W","","","","","",""
22,6953,"CAB-GEN-TRV-2","Cable TRV tipo C a lightning 20w","Cables de carga","",13000,5,"","","Tipo C | Lightning","","20W","","","","","",""
23,6501,"566","Cable USB tipo-c a Lightning 1mt","Cables de carga","",6000,5,"","","Lightning","1m","","","","","","",""
24,6564,"ALM-HIKS-MEMORI64G","Memoria hiksemi/Dahua micro sd 64gb","Almacenamiento","Hiksemi",39000,5,"64GB","","","","","","","","","",""
25,6848,"AUR-JBL-JBL","Auricular JBL Wave 380 Rep premium","Auriculares con cable","JBL",39000,5,"","","","","","","Premium","","","","SI"
26,6534,"879","Fuente Samsung 25W Tipo C AAA","Pilas y baterías","Samsung",18000,5,"","","Tipo C","","25W","","AAA","","","",""
27,6899,"PHO-SAMS-A17-2","Samsung A17 256gb 8gb","Smartphones nuevos","Samsung",635000,4,"256GB","8GB","","","","","","","","",""
28,6817,"CAR-IBEK-IBEK","Cargador IBEK micro usb economico","Cargadores de pared","Ibek",7000,4,"","","Micro USB","","","","Economico","","","",""
29,6838,"CAB-NOGA-MICRO","Cable micro usb NOGANET","Cables de carga","Noganet",6000,4,"","","Micro USB","","","","","","","",""
30,7027,"","Vaper Elfbar ICE King","Vapers","Elfbar",45000,4,"","","","","","","","","","",""
31,6666,"ALM-KING-MEMORI32G","Memoria Kingston/ Sandisk micro sd 32gb","Almacenamiento","Kingston",31000,4,"32GB","","","","","","","","","",""
32,7231,"","Soporte Fijo para TV Noganet 26 a 72''","Soportes para TV","",29000,4,"","","","","","72\""","","","","",""
33,6783,"AUR-GEN-FAIR39","Auriculares AIR 39 FLUX Fair39","Auriculares con cable","",14000,4,"","","","","","","","","","",""
34,6537,"884","Auriculares Samsung HS330","Auriculares con cable","Samsung",6000,4,"","","","","","","","","","",""
35,6477,"511","Mouse GENIUS usb","Periféricos","Genius",9500,4,"","","","","","","","","","",""
36,6915,"CAB-GEN-DERIVA-2","Cable derivador RCA 2 Macho a 1 hembra","Cables de audio","",12000,4,"","","","","","","","","","",""
37,6795,"PHO-MOTO-G86","Motorola G86 5g 512gb","Smartphones nuevos","Motorola",665000,3,"512GB","","","","","","","","","",""
38,6884,"PHO-REDMI-NOTE15PR","Redmi Note 15 Pro 8gb 256gb","Smartphones nuevos","Xiaomi",660000,3,"256GB","8GB","","","","","","","","",""
39,6658,"PHO-SAMS-A16","Samsung A16 128gb","Smartphones nuevos","Samsung",390000,3,"128GB","","","","","","","","","",""
40,6912,"PHO-MOTO-G06","Motorola G06 128gb","Smartphones nuevos","Motorola",315000,3,"128GB","","","","","","","","","",""
41,6955,"PHO-RLME-C71","Realme C71 128gb 6gb","Smartphones nuevos","Realme",310000,3,"128GB","6GB","","","","","","","","",""
42,6885,"PHO-SAMS-A06","Samsung A06 64gb 4gb","Smartphones nuevos","Samsung",298000,3,"64GB","4GB","","","","","","","","",""
43,6710,"TVB-GEN-SMART32P","Smart TV Quint 50'' UHD","TV Box y streaming","",690000,3,"","","","","","50\""","","","","",""
44,6728,"CAR-SAMS-SAMSUN","Fuente Samsung 25W Tipo C ORIGINAL","Cargadores de pared","Samsung",56000,3,"","","Tipo C","","25W","","Original","","","",""
45,6960,"CAR-MOTO-TURBO","Cargador Turbo power MOTOROLA 125w","Cargadores de pared","Motorola",19000,3,"","","","","125W","","","","","",""
46,7806,"CAR-ALO-ALO-1","Cargador Aló Pocket 15w USB A a tipo c","Cargadores de pared","ALO",9000,3,"","","Tipo C | USB A","","15W","","","","","",""
47,6727,"CAB-GEN-TIPO","Cable USB tipo-c a Lightning 1mt ORIGINAL","Cables de carga","",45000,3,"","","Lightning","1m","","","Original","","","",""
48,6489,"536","Hidrogel matte","Vidrios templados e hidrogel","",10000,3,"","","","","","","","","","",""
49,6486,"532","Hidrogel smartwatch","Vidrios templados e hidrogel","",5000,3,"","","","","","","","","","",""
50,6484,"530","Vidrio templado | glass","Vidrios templados e hidrogel","",4000,3,"","","","","","","","","","",""
51,6751,"RTR-TPL-WA850RE","Extensor Access Point TP Link TL WA850RE","Routers y WiFi","TP-Link",47000,3,"","","","","","","","","","",""
52,6503,"568","Cable usb a Lightning 1mt","Cables de carga","",6000,3,"","","Lightning | USB A","1m","","","","","","",""
53,6558,"RTR-MERC-EXTENS","Extensor Access point MERCUSYS 300mbs","Routers y WiFi","Mercusys",33000,3,"","","","","","","","","","",""
54,6619,"AUR-FOX-MANOS-2","Manos libre Fox Box boost pulse Tipo C","Auriculares inalámbricos","FoxBox",17000,3,"","","Tipo C","","","","","","","",""
55,6492,"539","Hidrogel tablet","Tablets","",25000,3,"","","","","","","","","","",""
56,6682,"PER-GENI-NX7000","Mouse GENIUS inalambrico NX7000","Periféricos","Genius",19000,3,"","","","","","","","","","",""
57,6967,"PER-BULL-MOUSE","Mouse inalambrico recargable USB y BT BULLTEC","Periféricos","Bulltec",19000,3,"","","","","","","","","","",""
58,7324,"TVS-NOGA-FIJO65P-2","Soporte Fijo para TV Noganet 14 a 42''","Soportes para TV","Noganet",15000,3,"","","","","","42\""","","","","",""
59,7441,"CAU-GEN-WAY-2","Cargador de auto Voltjet 12v 38w","Cargadores de auto","Voltjet",17000,3,"","","","","38W","","","","","",""
60,6565,"CAU-GEN-WAY","Cargador de auto 12v WAY QC","Cargadores de auto","",13000,3,"","","","","","","","","","",""
61,7437,"CAU-GEN-WAY-1","Cargador de auto 12V Genérico micro usb","Cargadores de auto","Ringo",12000,3,"","","Micro USB","","","","","","","",""
62,6810,"ADP-GEN-CONVER","Convertidor conversor VGA a HDMI","Adaptadores y conversores","",12000,3,"","","HDMI","","","","","","","",""
63,7236,"","Cable USB para impresora","Adaptadores y conversores","",7000,3,"","","","","","","","","","",""
64,7116,"","Receptor Adaptador Bluetooth BT DINAX","Adaptadores de red","",9500,3,"","","","","","","","","","",""
65,7101,"","iPhone 14 128gb 84% (37873)","Smartphones usados","Apple",390,3,"128GB","","","","","","","Usado","84%","37873",""
66,6573,"PHO-NOKIA-NOKIA","Nokia 106","Smartphones nuevos","Nokia",58000,2,"","","","","","","","","","",""
67,6933,"PHO-APPLE-17PM256-2","iPhone 17 Pro Max SELLADO 256gb (21210)","Smartphones nuevos","Apple",1370,2,"256GB","","","","","","","Sellado","","21210",""
68,6968,"PHO-APPLE-16P256G-5","iPhone 16 Pro 256gb 89% (13236)","Smartphones nuevos","Apple",840,2,"256GB","","","","","","","Usado","89%","13236",""
69,7278,"","iPhone 12 Pro 128gb 100% (63695)","Smartphones nuevos","Apple",310,2,"128GB","","","","","","","Usado","100%","63695",""
70,6948,"PER-NETM-G904","Silla Butaca gamer DONNA AFC5204","Periféricos","Netmak",248000,2,"","","","","","","","","","",""
71,6867,"TVB-ROKU-ROKU","Roku Streamer HD","TV Box y streaming","Roku",98000,2,"","","","","","","","","","",""
72,6958,"CAR-FOX-FOX-3","Cargador Fox Box MEGA 30w C/ cable Tipo C magnetico","Cargadores de pared","FoxBox",36000,2,"","","Tipo C","","30W","","","","","",""
73,6295,"191","Cargador Apple Battery pack 5.000","Cargadores de pared","Apple",29000,2,"","","","","","","","","","",""
74,6479,"514","Router TP-Link Archer C86","Routers y WiFi","TP-Link",98000,2,"","","","","","","","","","",""
75,7808,"CAR-FOX-FOX-4","Cargador fox box MEGA 3 20w","Cargadores de pared","FoxBox",23000,2,"","","","","20W","","","","","",""
76,6533,"878","Fuente Iphone 20W Tipo C","Cargadores de pared","Apple",12000,2,"","","Tipo C","","20W","","","","","",""
77,7124,"","Cable USB tipo-c a Lightning 1mt Premium","Cargadores de pared","",8000,2,"","","Lightning","1m","","","Premium","","","",""
78,7323,"","Cargador IBEK Micro usb v8 3.8a","Cargadores de pared","",7500,2,"","","Micro USB","","","","","","","",""
79,6699,"CAR-ALO-ALO","Cargador ALO Pocket 15W tipo C (S/Cable)","Cargadores de pared","ALO",7000,2,"","","Tipo C","","15W","","","","","",""
80,7442,"","Parlantes 6x9 Maverick 650w Mav 10690","Accesorios Vehículo","Maverick",98000,2,"","","","","650W","","","","","",""
81,7682,"CLI-ORYX-CALOVE-2","Caloventor Dinax 2000w","Climatización","Dinax",35000,2,"","","","","2000W","","","","","",""
82,6487,"533","Hidrogel clear AA","Vidrios templados e hidrogel","",5000,2,"","","","","","","AA","","","",""
83,6530,"839","Glass vidrio templado de camaras brillo","Vidrios templados e hidrogel","",5000,2,"","","","","","","","","","",""
84,6529,"838","Glass vidrio templado de camaras","Vidrios templados e hidrogel","",4500,2,"","","","","","","","","","",""
85,6774,"AUR-FOX-AURICU-2","Auriculares manos libres Fox Box FORCE 2.0","Auriculares inalámbricos","FoxBox",49000,2,"","","","","","","","","","",""
86,7661,"PWB-FOX-POWER-1","Power Bank Fox Box ENERGY port 10.000 mah","Power banks","FoxBox",73000,2,"","","","","","","","","","",""
87,7238,"","Parlantes redondos 4'' Planter 280w","Parlantes profesionales","",45000,2,"","","","","280W","4\""","","","","",""
88,6959,"PWB-FOX-POWER","Power Bank Fox Box ENERGY port 20.000 mah","Power banks","FoxBox",67000,2,"","","","","","","","","","",""
89,6973,"CAB-VAPX-VAPEX-2","Cable USB v3 mini 1,5m Vapex","Cables de carga","Vapex",8000,2,"","","","1.5m","","","","","","",""
90,6524,"776","Cable ALO Line 15W USB a Tipo C","Cables de carga","ALO",5000,2,"","","Tipo C | USB A","","15W","","","","","",""
91,7778,"","Kit Directv prepago 46cm","Sin categorizar","",49000,2,"","","","","","","","","","",""
92,7028,"","Vaper Ignite ICE 40k","Vapers","Ignite",48000,2,"","","","","","","","","","",""
93,6603,"TVS-NOGA-MOV","Soporte Movil para TV Noganet 1hasta 55""","Soportes para TV","Noga",46000,2,"","","","","","55\""","","","","",""
94,6811,"VEH-DINX-TEREO20","Auto Estereo fijo DINAX dxstereo20","Estéreos de auto","Dinax",34000,2,"","","","","","","","","","",""
95,6792,"AUR-NETM-NETMAK","Auricular NETMAK NM Live","Auriculares con cable","Netmak",27000,2,"","","","","","","","","","",""
96,7026,"","Vaper ElfBar 15k","Vapers","Elfbar",29000,2,"","","","","","","","","","",""
97,6279,"83","Auricular EarPods Lightning (conexion directa)","Auriculares con cable","",19500,2,"","","Lightning","","","","","","","",""
98,6668,"OTR-HIKS-PENDRI64G","Pendrive Hiksemi 64gb","Varios","Hiksemi",35000,2,"64GB","","","","","","","","","",""
99,6718,"MAT-GEN-TERMO","Termo media manija 1L","Mates","",22000,2,"","","","","","","","","","",""
100,6939,"TVS-NETM-FIJO43P","Soporte para TV fijo NETMAK con inclinación 23 - 43''","Soportes para TV","Netmak",18000,2,"","","","","","43\""","","","","",""
101,6777,"GAC-TARG-GAMER","Auricular gamer TARGA ODISSEY 300","Accesorios gaming","Targa",29000,2,"","","","","","","","","","",""
102,6714,"MAT-GEN-MATERA","Matera canasta simil cuero","Mates","",17000,2,"","","","","","","","","","",""
103,6956,"AUR-GEN-P47","Auricular P47","Auriculares con cable","",9500,2,"","","","","","","","","","",""
104,6864,"CAU-TREQ-AUTO","Cargador de auto 12v TREQA 38w","Cargadores de auto","Treqa",19000,2,"","","","","38W","","","","","",""
105,6947,"RAD-SEIS-QMK9015","Sintonizador FM SEISA BT QMK9015","Radios y Sintonizadores","Seisa",15000,2,"","","","","","","","","","",""
106,6863,"PIL-GEN-INAL","Cargador inalámbrico Magsafe AAA","Pilas y baterías","",16000,2,"","","","","","","AAA","","","",""
107,6519,"758","Cable auxiliar jack 3.5 COMUN","Cables de audio","",3500,2,"","","Jack 3.5","","","","Comun","","","",""
108,6634,"ADP-GEN-JACK","Adaptador Jack 3,5 a ligthning","Adaptadores y conversores","",7500,2,"","","Jack 3.5","","","","","","","",""
109,6771,"CAB-KOLKE-HDMI-2","Cable HDMI KOLKE 1,5m","Cables HDMI y video","Kolke",7500,2,"","","HDMI","1.5m","","","","","","",""
110,7016,"","Tira correa larga  para celu cordon","Accesorios para Celular","",8000,2,"","","","","","","","","","",""
111,6555,"SBD-GEN-MALLA-2","Malla mi band 7 NEGRA","Smart Bands","",6500,2,"","","","","","","","","","",""
112,7162,"","iPhone 16 Pro Max 256gb 89% (74420)","Smartphones usados","Apple",910,2,"256GB","","","","","","","Usado","89%","74420",""
113,7121,"","iPhone 16 128gb 90% (12663)","Smartphones usados","Apple",680,2,"128GB","","","","","","","Usado","90%","12663",""
114,7279,"","iphone 15 Pro 256gb 86% (14529)","Smartphones usados","",650,2,"256GB","","","","","","","Usado","86%","14529",""
115,7281,"","iPhone 13 Pro Max 128gb 93% (3782)","Smartphones usados","",510,2,"128GB","","","","","","","Usado","93%","3782",""
116,7163,"","iPhone 12 Pro Max 128gb 98% (5735)","Smartphones usados","Apple",330,2,"128GB","","","","","","","Usado","98%","5735",""
117,6623,"PHO-SAMS-A36","Samsung A36 5g 256gb","Smartphones nuevos","Samsung",735000,1,"256GB","","","","","","","","","",""
118,6883,"PHO-REDMI-NOTE14PR","Redmi Note 14 Pro 5G 256gb","Smartphones nuevos","Xiaomi",640000,1,"256GB","","","","","","","","","",""
119,6804,"PHO-MOTO-G15-2","Motorola G15 512gb","Smartphones nuevos","Motorola",435000,1,"512GB","","","","","","","","","",""
120,6911,"PHO-MOTO-G05","Motorola G05 128b","Smartphones nuevos","Motorola",279000,1,"","","","","","","","","","",""
121,6882,"PHO-APPLE-17P256G-2","iPhone 17 Pro 256gb SELLADO (49145)","Smartphones nuevos","Apple",1350,1,"256GB","","","","","","","Sellado","","49145",""
122,6903,"PHO-APPLE-17P256G-3","iPhone 17 Pro 256gb SELLADO (65536)","Smartphones nuevos","Apple",1350,1,"256GB","","","","","","","Sellado","","65536",""
123,7433,"PHO-APPLE-17PM256-18","iPhone 17 Pro 256gb (73307)","Smartphones nuevos","Apple",1320,1,"256GB","","","","","","","","","73307",""
124,6932,"PHO-APPLE-16P256G-3","iPhone 16 Pro 256gb 93% (53699)","Smartphones nuevos","Apple",820,1,"256GB","","","","","","","Usado","93%","53699",""
125,6879,"PHO-APPLE-16P256G-2","iPhone 16 Pro 256gb 90% (23830)","Smartphones nuevos","Apple",795,1,"256GB","","","","","","","Usado","90%","23830",""
126,6702,"PHO-APPLE-14PM128G","iPhone 14 Pro Max 128gb 89% (58146)","Smartphones nuevos","Apple",680,1,"128GB","","","","","","","Usado","89%","58146",""
127,6822,"PHO-APPLE-13P128G","iPhone 13 Pro 128gb 82% (66658)","Smartphones nuevos","Apple",460,1,"128GB","","","","","","","Usado","82%","66658",""
128,6931,"PHO-APPLE-15P256G-2","iPhone 13 Pro 128gb 100% (56982)","Smartphones nuevos","Apple",455,1,"128GB","","","","","","","Usado","100%","56982",""
129,6969,"PHO-APPLE-14128G-3","iPhone 14 128gb 89% (74563)","Smartphones nuevos","Apple",420,1,"128GB","","","","","","","Usado","89%","74563",""
130,6971,"PHO-APPLE-12128G-4","iPhone 12 128gb 100% (5039)","Smartphones nuevos","Apple",290,1,"128GB","","","","","","","Usado","100%","5039",""
131,6826,"CLI-TCL-AIRE","Aire acondicionado TCL 3400w","Climatización","TCL",840000,1,"","","","","3400W","","","","","",""
132,6605,"NOT-GATE-NOTEBO16G","Notebook Gateway i5 16gb 512gb","Notebooks","Gateway",890000,1,"512GB","16GB","","","","","","","","",""
133,6731,"TV-TCL-SMART55P","Smart TV Noblex 55'' X8 UHD","Smart TV","TCL",865000,1,"","","","","","55\""","","","","",""
134,6607,"TV-BGH-SMART43P","Smart TV 43'' BGH Android Full HD","Smart TV","BGH",495000,1,"","","","","","43\""","","","","",""
135,6934,"PRI-CANO-G2100","Impresora Canon multifunción G2100","Impresoras","Canon",455000,1,"","","","","","","","","","",""
136,7318,"","Parlante Dinax Beat 20.000w 2 x 10''","Parlantes profesionales","",365000,1,"","","","","000W","10\""","","","","",""
137,6541,"969","Parlante Brodu iKaraoke Box 360 2x 1990","Parlantes profesionales","Brodu",295000,1,"","","","","","","","","","",""
138,6834,"CAM-ORYX-KIT320G","Kit Camaras ORYX x4 + Disco 320gb","Kits CCTV","Oryx",295000,1,"320GB","","","","","","","","","",""
139,6739,"VEH-ECOP-EP7013","Estéreo Ecopower EP-7013","Estéreos de auto","Ecopower",220000,1,"","","","","","","","","","",""
140,7125,"","Camara de seguridad ECOPOWER EPC049","Cámaras de seguridad","",230000,1,"","","","","","","","","","",""
141,6898,"PAR-NETM-NETMAK8P","Parlante NETMAK Epic 8'' x2 con microfono","Parlantes profesionales","Netmak",189000,1,"","","","","","8\""","","","","",""
142,6952,"MON-GFST-T220","Monitor Gfast 21,5'' T220 60hz HDMI/VGA","Monitores","Gfast",195000,1,"","","HDMI","","","21.5\""","","","","",""
143,6762,"SMW-FOX-RELOJ-3","Reloj Smartwatch Fox Box NUMA","Smartwatch","FoxBox",189000,1,"","","","","","","","","","",""
144,6802,"MON-GFST-MONITO6P","Monitor E-view 20'' VGA/HDMI","Monitores","",185000,1,"","","HDMI","","","20\""","","","","",""
145,6333,"265","Parlante Dinax Aspen 12""","Parlantes profesionales","Dinax",145000,1,"","","","","","12\""","","","","",""
146,6961,"TVB-ROKU-ROKU-2","Roku Express Replica android","TV Box y streaming","Roku",69000,1,"","","","","","","","","","","SI"
147,7435,"203-4","Auricular JBL vincha Tune 520 tc","Auriculares inalámbricos","JBL",98000,1,"","","","","","","","","","",""
148,6843,"CAR-NETM-NMCP28","Cargador NETMAK NMCP28 QC 20w","Cargadores de pared","Netmak",17000,1,"","","","","20W","","","","","",""
