id,sku,titulo,categoria,marca,stock,unidades_12m,PRECIO_NUEVO,moneda_ARS_o_USD
6378,"314","Atma cup cake maker CM8910E","Cocina","Atma","1",0,,
6285,"95","Auricular c/cable Motorola","Auriculares con cable","Motorola","1",0,,
6302,"212","Auricular PS4","Auriculares con cable","","3",0,,
6456,"414","Balanza de almacén Nationalizer","Cocina","","1",0,,
6341,"277","Calculadora común","Varios","","4",0,,
6413,"362","Cinto cuero","Accesorios","","3",0,,
6361,"297","Ibek led color bulb","Luces de ambiente y evento","Ibek","1",0,,
6340,"276","Láser mini","Luces de ambiente y evento","","3",0,,
6362,"298","Láser stage lighting mini","Luces de ambiente y evento","","1",0,,
6354,"290","Led mini room strobe","Luces de ambiente y evento","","1",0,,
6339,"275","Linterna láser","Linternas","","4",0,,
6342,"278","Linterna manos libres","Linternas","","1",0,,
6343,"279","Linterna picana","Linternas","","1",0,,
6347,"283","Luz roja sirena","Luces de ambiente y evento","","1",0,,
6450,"405","Morley Freidora FI-95L 5.5L","Cocina","Morley","1",0,,
6286,"149","Moto G 54 5G","Smartphones nuevos","Motorola","1",0,,
6305,"218","Mouse GTC c/mousepad","Periféricos","","1",0,,
6375,"311","Panel de luz portátil Time","Luces de ambiente y evento","","2",0,,
6349,"285","Parlante pc Netmak","Parlantes de mesa y PC","Netmak","1",0,,
6337,"273","Protector de carga USB","Reguladores de tensión","","1",0,,
6338,"274","Protector de carga USB MOD2","Reguladores de tensión","","1",0,,
6376,"312","Reloj/alAtma REJ-4411","Smartwatch","Atma","1",0,,
6398,"342","Robot limpia liso","Cocina","","1",0,,
6403,"347","Scarlett plancha","Cuidado personal","","1",0,,
6453,"411","Set asado","Limpieza y hogar","","1",0,,
6452,"410","Set cubiertos asador","Limpieza y hogar","","1",0,,
6455,"413","Set freidor Brikenia","Cocina","","1",0,,
6410,"357","Set matero con estuche","Mates","","2",0,,
6395,"334","Torno de uñas","Cuidado personal","","1",0,,
6409,"355","Westinghouse microondas 38L","Cocina","Westinghouse","1",0,,
6454,"412","Winco Grill eléctrico","Cocina","Winco","1",0,,
6439,"392","Yerbera y azucarera","Mates","","2",0,,
